SUBD_DESC,median_price,n_parcels,median_size,median_dur_owned
ENO TRACE PH 3,158000,14,0.223,5.79178082191781
ENO TRACE PH 4,2750,12,0.2325,5.72602739726027
ENO TRACE PH 5,148500,31,0.224,8.54383561643836
ENO TRACE PH 6,152500,54,0.2395,5.83972602739726
ERWIN COTTN MLS S-1  BL-B,111250,14,0.2545,21.0547945205479
ERWIN COTTN MLS S-1  BL-C,0,9,0.304,11.1369863013699
ERWIN COTTN MLS S-1  BL-D,0,8,0.224,9.32328767123288
ERWIN COTTN MLS S-1  BL-E,257500,8,0.222,23.4027397260274
ERWIN COTTN MLS S-2  BL-E,0,3,1.051,15.5397260273973
ERWIN COTTN MLS S-3  BL-F,0,21,0.273,12.8821917808219
ERWIN COTTN MLS S-3  BL-H,0,16,0.187,23.4027397260274
ERWIN COTTN MLS S-4A,173750,20,0.141,8.55068493150685
ERWIN COTTN MLS S-4B,235000,19,0.153,18.4575342465753
EVERWOOD PH 01,308250,24,0.181,6.43287671232877
EVERWOOD PH 02,319000,31,0.19,6.0054794520548
EXECUTIVE OFC PRK CONDOS,150000,21,0,11.9534246575342
EXPWAY COMMERCE CTR PH 1,190000,9,1.687,6.14246575342466
EXUM STREET CONDOS,0,3,0,21.4027397260274
F-VILLE RD OFC PRK   CD,8e+05,19,0,8.44931506849315
F-VILLE RD OFC PRK 2 CD,270750,22,0,14.8342465753425
FAIRFAX PLC,150000,5,0.501,12.0575342465753
FAIRFAX PLC SEC 2,97000,6,0.598,11.2958904109589
FAIRFAX PLC SEC 3,32000,25,0.515,5.2041095890411
FAIRFIELD,97000,64,0.23,11.7917808219178
FAIRFIELD @ HILLANDALE/AP,0,4,0.5495,
FAIRFIELD PH 1-A SEC 1,252500,22,0.2955,6.37808219178082
FAIRFIELD PH 1-A SEC 2,175000,32,0.2965,23.4027397260274
FAIRFIELD PH 1-B SEC 1,253000,35,0.294,23.4027397260274
FAIRFIELD PH 1-B SEC 2,213500,42,0.2895,16.7219178082192
FAIRFIELD PH 2-- SEC A,244250,26,0.3135,21.386301369863
FAIRFIELD PH 2-- SEC B,220000,27,0.379,23.4027397260274
FAIRFIELD PH 2-- SEC C,0,17,0.381,23.4027397260274
FAIRFIELD PH 2-- SEC D,240000,27,0.316,23.4027397260274
FAIRFIELD PH 2-- SEC E,230000,25,0.325,14.6301369863014
FAIRFIELD PH 2-- SEC H,263000,26,0.312,10.7547945205479
FAIRFIELD PH 3-- SEC F,252000,24,0.3005,20.3876712328767
FAIRFIELD PH 3-A SEC G,302500,24,0.2955,13.6301369863014
FAIRFIELD PH 3-B SEC G,310000,11,0.416,17.1506849315069
FAIRFIELD PH 4-A,356000,23,0.332,6.28493150684932
FAIRFIELD PH 4-B SEC 1,362000,9,0.23,10.3041095890411
FAIRFIELD PH 4-B SEC 2,382500,21,0.292,3.95068493150685
FAIRFIELD PH 4-C,421500,29,0.29,7.36438356164384
FAIRWAY TW AT CROASDAILE,440000,17,0.103,1.87123287671233
FAIRWAY WDS SEC 1,311250,6,0.692,19.0465753424658
FAIRWAY WDS SEC 1/2 REV,420000,1,0.71,
FAIRWAY WDS SEC 2,310000,7,0.699,23.4027397260274
FAIRWAY WDS SEC 3,0,6,0.739,23.4027397260274
FAIRWAY WDS SEC 3/4 REV,0,3,0.688,23.4027397260274
FAIRWAY WDS SEC 4,207000,3,0.79,
FARRINGTON RDG,63000,5,0.476,5.36712328767123
FARRINGTON TW 5-OAKS PH 2,134000,40,0.138,13.972602739726
FAUCETTE AVE,0,4,0.386,23.4027397260274
FELLOWSHIP FREEWL BAPT CH,0,28,0.4965,23.4027397260274
FENDOL FARMS,0,247,0.168,1.03287671232877
FENDOL FARMS LTS 105-504,0,106,0.1285,1.46027397260274
FERN VLY ESTATES,145000,22,0.594,14.5643835616438
FERRELL HGHTS,31000,6,0.455,16.4739726027397
FIDELITY SECURITY CO,0,11,0.16,3.13424657534247
FIELD OF DREAMS,295250,12,0.525,16.372602739726
FISHER PLC/THERESA REDEV,50000,14,0.1465,7.38904109589041
FITZFORD ESTATES SEC 1,142000,20,0.7385,16.5506849315069
FITZFORD ESTATES SEC 2,71750,8,0.841,23.4027397260274
FITZFORD ESTATES SEC 3,0,10,0.749,23.4027397260274
FITZFORD ESTATES SEC 4,0,7,0.746,23.4027397260274
FITZFORD ESTATES SEC 5,0,3,1.148,13.4301369863014
FITZGERALD DEV,0,63,0.143,8.8
FITZGERALD TRACT,16000,31,0.14,5.96164383561644
FLDSTN      /BKWTR CRK S6,220000,30,0.26,21.9780821917808
FLDSTN      /BKWTR CRK S7,220000,19,0.326,13.3972602739726
FLDSTN A3 P3/BKWTR CRK S7,189000,57,0.251,23.4027397260274
FLDSTN A3 P4/BKWTR CRK S8,211500,18,0.29,19.3917808219178
FLDSTN A3 P4/BKWTR CRK S9,201500,34,0.3145,23.4027397260274
FLDSTN-----------A2 P1 S1,235000,27,0.392,6.70958904109589
FLDSTN-----------A2 P1 S2,257500,22,0.3705,4.37808219178082
FLETCHER HLS,0,100,0.461,11.3945205479452
FLETCHER WDS SEC 1,0,26,0.2365,23.4027397260274
FLETCHER WDS SEC 2,0,16,0.23,22.3904109589041
FORRESTDALE,81500,16,0.466,11.1424657534247
FOX RUN SEC 3,0,1,1.159,23.4027397260274
FOX RUN SEC 8,12500,2,0.982,
FOXGATE DEV TWNHMS,2800000,20,0.0595,
FOXWOOD MANOR,167250,38,0.16,2.62191780821918
FR OAKS COMMON AREA,0,2,1.491,13.3972602739726
FR OAKS PH01 SEC01 BL-C/D,125750,12,0.035,14.4698630136986
FR OAKS PH01 SEC02 BL-I,116000,7,0.033,18.9643835616438
FR OAKS PH01 SEC03 BL-B,130000,5,0.06,13.8452054794521
FR OAKS PH01 SEC04 BL-H,60000,6,0.027,10.6246575342466
FR OAKS PH01 SEC05 BL-G,124000,7,0.031,5.53698630136986
FR OAKS PH01 SEC06 BL-E,125500,4,0.0515,13.6013698630137
FR OAKS PH01 SEC07 BL-F,49000,4,0.055,7.55890410958904
FR OAKS PH01 SEC08 BL-J,120000,6,0.046,22.5561643835616
FR OAKS PH02 SEC02 BL-K/L,125000,7,0.031,23.4027397260274
FR OAKS PH02 SEC02 BL-L,0,6,0.0465,23.4027397260274
FR OAKS PH02 SEC03 BL-M,70000,6,0.0445,16.9753424657534
FR OAKS PH02 SEC03 BL-N,133500,7,0.037,15.0986301369863
FR OAKS PH02 SEC03 BL-O,138000,7,0.037,12.5164383561644
FR OAKS PH02 SEC04 BL-P,122500,6,0.0455,9.95342465753425
FR OAKS PH02 SEC05 BL-A,0,7,0.033,20.2643835616438
FR OAKS PH02 SEC06 BL-Q,138500,5,0.031,5.66849315068493
FR OAKS PH02 SEC07 BL-R,134500,5,0.03,3.29315068493151
FR OAKS PH02 SEC07 BL-S,134000,5,0.036,14.4698630136986
FR OAKS PH03 BL-T/U,120500,11,0.03,2.42465753424658
FR OAKS PH03 BL-V,107500,6,0.0295,13.8082191780822
FR OAKS PH03 BL-W,148000,7,0.031,23.4027397260274
FR OAKS PH03 BL-X,114000,7,0.03,13.0945205479452
FR OAKS PH03 BL-Y,67500,6,0.027,6.03287671232877
FRANK WARD REALTY,0,6,0.813,23.4027397260274
FRAZIER FRST PH 01,109000,28,0.2545,20.5520547945206
FRAZIER FRST PH 02,126500,29,0.289,12.3671232876712
FRAZIER FRST PH 03,121500,20,0.269,13.7958904109589
FREEMAN FRST,80000,4,0.626,4.38904109589041
FRENCHMANS CREEK,180000,25,0.447,23.4027397260274
FRST BROOK CLUSTER PH 01,134500,12,0.1935,0.3
FRST BROOK CLUSTER PH 02,173500,16,0.2015,9.46986301369863
FRST EDGE SEC 01,0,25,0.299,23.4027397260274
FRST EDGE SEC 02,111000,29,0.294,21.9027397260274
FRST HGHTS,286750,22,0.5475,21.5150684931507
FRST HLS,180000,93,0.392,11.0602739726027
FRST HLS EXT SEC 02,162750,56,0.247,11.8986301369863
FRST HLS SEC A,472250,10,0.348,9.23287671232877
FRST HLS SEC B,0,9,0.581,23.4027397260274
FRST HLS SEC C   RESUB,230000,5,0.276,13.3904109589041
FRST HLS SEC C-D,267000,7,0.263,23.4027397260274
FRST HLS SEC D   PART,0,3,0.435,12.3972602739726
FRST VIEW HGHTS SEC 01,0,121,0.288,15.4328767123288
FRSTDALE,150000,5,0.345,6.39178082191781
FRSTWD 02 PH 01,0,9,0.519,16.372602739726
FRSTWD 02 PH 02,0,30,0.287,20.9698630136986
FRSTWD 02 PH 03 SEC 01,75500,42,0.2815,23.4027397260274
FRSTWD 02 PH 03 SEC 02,93000,33,0.208,17.4287671232877
FRSTWD 02 PH 03 SEC 03,35750,14,0.3125,14.872602739726
FRSTWD 02 PH 03 SEC 04,0,25,0.226,23.4027397260274
FRSTWD 03,86000,23,0.168,15.5150684931507
FRSTWD 04,95750,18,0.27,9.67260273972603
FRSTWD PRK,0,92,0.173,17.1739726027397
FRSTWD PRK/ROBERTS B,0,108,0.258,19.5643835616438
GALAXY MANOR SEC 1,134500,4,0.188,23.4027397260274
GANYARD FARM,175250,114,0.144,9.75205479452055
GANYARD TOWNS,103000,45,0.027,3.53150684931507
GARRETT FRMS PH 01 SEC 01,130000,22,0.43,22.8904109589041
GARRETT FRMS PH 01 SEC 02,0,26,0.3455,23.4027397260274
GARRETT FRMS PH 01 SEC 03,223500,12,0.356,15.3753424657534
GARRETT FRMS PH 01 SEC 04,310000,20,0.347,23.4027397260274
GARRETT FRMS PH 02 SEC 02,68750,36,0.3485,23.4027397260274
GARRETT FRMS PH 04 SEC 01,125000,18,0.345,23.4027397260274
GARRETT FRMS PH 04 SEC 02,285000,25,0.348,23.3452054794521
GARRETT FRMS PH 04 SEC 03,283500,30,0.348,18.6328767123288
GARRETT FRMS SEC 01 PH 03,296250,22,0.3455,23.4027397260274
GARRETT FRMS SEC 02 PH 03,149000,12,0.355,23.4027397260274
GARRETT FRMS SEC 03 PH 03,310000,35,0.347,17.3013698630137
GATEWOOD FOREST PH 1,142000,13,0.298,7.37671232876712
GATEWOOD FOREST PH 2,146000,67,0.27,5.78904109589041
GATTIS STREET SUBD,120000,6,0.116,12.8164383561644
GEER F C/DUKE LD & IMP CO,102000,10,0.212,23.4027397260274
GEERWOOD PRK,39000,89,0.142,12.8739726027397
GEORGETOWNE SEC 1,0,12,0.2205,13.6041095890411
GEORGETOWNE SEC 2,0,9,0.199,12.5191780821918
GEORGETOWNE SEC 3,0,31,0.198,12.2986301369863
GINGERBREAD INVSTMT CO,0,79,0.465,9.12876712328767
GLEN FRST SEC 1,0,110,0.4675,23.3945205479452
GLEN FRST SEC 2,61000,83,0.459,16.2958904109589
GLEN LAUREL TW,111750,18,0.038,4.37260273972603
GLEN LAUREL TW PH 02,119500,8,0.033,13.1424657534247
GLEN LAUREL TW PH 04,115250,4,0.042,9.71095890410959
GLEN LAUREL TW PH 05 BL F,110000,5,0.036,13.7123287671233
GLENBROOK SEC 1,0,9,0.151,11.2698630136986
GLENBROOK SEC 3,0,14,0.194,16.0109589041096
GLENBROOK SEC 4,0,37,0.17,23.4027397260274
GLENDALE ADDITION,134250,10,0.169,17.5835616438356
GLENDALE AVE-CITY OF DRHM,125000,13,0.132,8.28219178082192
GLENDALE HGHTS,85000,33,0.339,15.2356164383562
GLENDALE HGHTS EXT,125000,5,0.347,23.4027397260274
GLENDALE HGHTS EXT SEC 1,67500,27,0.274,21.4027397260274
GLENDALE HGHTS EXT SEC 2,86500,53,0.271,16.6904109589041
GLENDALE HGHTS EXT SEC 3,50000,4,0.311,11.6876712328767
GLENDALE HGHTS RESUB,213000,17,0.219,5.87671232876712
GLENDALE HGHTS SEC 4,0,7,0.336,23.4027397260274
GLENDALE HGHTS SEC 5,0,13,0.338,23.4027397260274
GLENDALE HGHTS TR14/19 PT,102000,35,0.21,19.2986301369863
GLENDALE HGHTS TR19 PT,106000,22,0.2235,19.4684931506849
GLENDALE HGHTS TR20/26 PT,118500,44,0.2075,15.8972602739726
GLENN J J PLC BLK B,0,4,1.968,18.4
GLENNSTONE PH 01,134000,59,0.213,15.4739726027397
GLENNSTONE PH 02,147500,24,0.199,11.3945205479452
GLENNSTONE PH 03,153000,130,0.1465,5.44657534246575
GLENVIEW,0,14,0.1955,6.88767123287671
GLENVIEW PRK TW,0,1,5.86,
GLENVIEW PRK TW/LT 01-02,264000,2,0.091,
GLENVIEW PRK TW/LT 03-04,296500,2,0.09,2.51095890410959
GLENVIEW PRK TW/LT 05-08,112500,4,0.0845,6.34383561643836
GLENVIEW PRK TW/LT 09-10,266000,2,0.0875,
GLENVIEW PRK TW/LT 11-14,137500,4,0.0915,5.55479452054795
GLENVIEW PRK TW/LT 15-16,235500,2,0.089,15.0493150684932
GLENVIEW PRK TW/LT 17-18,147500,2,0.107,6.6958904109589
GLENVIEW PRK TW/LT 19-22,281750,4,0.0815,1.2958904109589
GLENVIEW PRK TW/LT 23-24,281000,2,0.0915,10.386301369863
GLENVIEW PRK TW/LT 25-26,113750,2,0.094,14.7945205479452
GLENVIEW PRK TW/LT 27-28,136500,2,0.0925,
GLENVIEW PRK TW/LT 29-30,295000,2,0.0905,1.04657534246575
GLENVIEW PRK TW/LT 31-32,260250,2,0.1125,
GLENVIEW PRK TW/LT 33-36,269000,4,0.085,1.7041095890411
GLENVIEW PRK TW/LT 37-38,271250,2,0.0905,
GLENVIEW PRK TW/LT 39-40,136000,2,0.0915,
GLENVIEW PRK TW/LT 41-44,270000,4,0.0885,
GLOVER HGHTS,0,21,0.429,23.4027397260274
GOLDEN BELT MFG COMPANY,35000,79,0.127,19.558904109589
GRANDALE FRST PH 1A,0,17,0.296,17.6904109589041
GRANDALE FRST PH 1B,187500,15,0.289,17.6
GRANDALE FRST PH 1C,0,8,0.3235,13.1013698630137
GRANDALE FRST PH 2,82500,24,0.2865,21.4821917808219
GRANDALE PH 02,442500,27,0.31,6.89315068493151
GRANDALE PH 03-A,365500,36,0.234,9.34246575342466
GRANDALE PH 03-B,355000,11,0.289,6.25342465753425
GRANDALE PH 04,413000,14,0.305,3.45342465753425
GRANDALE PH 05,361000,13,0.4,5.71232876712329
GRANDALE PH 06,402000,17,0.447,2.72054794520548
GRANDALE PH 07,341000,25,0.356,10.1342465753425
GRANDALE PH 08,324250,36,0.2665,8.80821917808219
GRANDALE PLACE PH 01,276750,40,0.3045,6.53698630136986
GRANDALE PLACE PH 02,265250,44,0.2785,7.08356164383562
GRANDALE PLACE PH 03,319750,52,0.258,16.7246575342466
GRANDE OAKS SEC 2,0,21,0.754,20.9369863013699
GRANDOVER,218000,13,0.502,20.6013698630137
GRANDOVER PH 2 SEC 1,209000,12,0.39,12.7561643835616
GRANDOVER PH 2 SEC 2,218500,69,0.364,15.0068493150685
GREEN ACRES,0,24,0.4575,23.4027397260274
GREEN GARDENS,153000,50,0.164,6.61643835616438
GREEN GARDENS PH 02,232500,53,0.21,5.37534246575343
GREEN MILL,17000,30,0.764,19.2219178082192
GREENRDG,166000,29,0.468,16.8493150684932
GREENWAY TWNHMS,640000,54,0.0475,12.8712328767123
GREENWD FRST PH 1 MAP 1,98250,32,0.3165,16.4287671232877
GREENWD FRST PH 1 MAP 2,0,27,0.307,22.2657534246575
GREENWD FRST PH 1 MAP 3,108500,34,0.281,19.5109589041096
GREENWD FRST PH 2,71000,64,0.2905,23.4027397260274
GREENWD FRST PH 3,0,5,0.478,21.3917808219178
GREENWD PH 1 SEC B,0,30,0.3905,23.4027397260274
GREENWD PH 1 SEC C,0,38,0.36,23.4027397260274
GREENWD PH 2 SEC A,104750,18,0.323,18.4821917808219
GREENWD PH 2 SEC B,0,39,0.327,23.4027397260274
GREENWD PH 2 SEC C,0,42,0.322,20.3123287671233
GREENWD PH 3 SEC A,106000,34,0.3195,22.8109589041096
GREENWD PH 3 SEC B,0,53,0.344,23.3082191780822
GREENWD PH 3 SEC C,0,22,0.319,20.4013698630137
GREENWD SEC 1-A,109500,31,0.328,15.8383561643836
GREENWICH OAKS,384250,20,0.3555,5.36986301369863
GREENWOOD SHOPPING CTR,378000,3,0.805,
GREENWOOD/PLAT BK14-PG61,0,40,0.215,23.4027397260274
GREENWOOD/PLAT BK14-PG88,1e+05,63,0.223,9.88493150684931
GREYCLIFF PH 1,54000,30,0.2725,23.4027397260274
GREYCLIFF PH 1-B,0,25,0.252,23.4027397260274
GREYCLIFF PH 2-A,135000,34,0.251,14.8767123287671
GREYCLIFF PH 2-B,146500,37,0.254,18.4
GREYMOSS SEC 1,4500,79,0.537,22.1
GREYMOSS SEC 2,0,65,0.555,23.4027397260274
GREYSONS GREEN PH 1,114000,27,0.239,23.4027397260274
GREYSONS GREEN PH 2,110000,52,0.2685,14.8821917808219
GREYSONS GREEN PH 3,0,34,0.25,15.6328767123288
GREYSONS GREEN PH 3-A,132500,8,0.2535,22.3150684931507
GREYSONS GREEN PH 4-A,70000,4,0.2345,17.2328767123288
GREYSONS GREEN PH 4-B,0,12,0.233,23.4027397260274
GREYSONS GREEN PH 4-C,41500,12,0.367,20.7232876712329
GREYSONS GREEN PH 5,97250,42,0.259,15.6191780821918
GREYSTONE PH 1,122500,24,0.3055,13.7123287671233
GREYSTONE PH 2,0,26,0.239,13.786301369863
GREYSTONE PH 3,119000,10,0.2185,4.97260273972603
GRIST MILL,0,7,0.52,23.4027397260274
GRISWOLD CONDO,2e+05,4,0,1.45205479452055
GROVE POINTE,212500,19,0.266,2.0013698630137
GROVE PRK PH 1 SEC 1,161750,30,0.2835,10.5054794520548
GROVE PRK PH 1 SEC 2,187500,30,0.325,14.3876712328767
GROVE PRK PH 1 SEC 3,219000,35,0.35,20.9808219178082
GROVE PRK PH 1 SEC 5,172750,38,0.3205,15.0438356164384
GROVE PRK PH 1 SEC 8-A,157500,37,0.278,14.1739726027397
GROVE PRK PH 1 SEC 8-B,0,29,0.238,15.3835616438356
GROVE PRK-BELLMDE PH 1 S7,152250,16,0.3355,13.3945205479452
GROVE PRK-BELLMDE PH 2,145000,21,0.242,7.44657534246575
GROVE PRK-BELLMDE PH 3B/4,158750,60,0.2175,9.35342465753425
GROVE PRK-BELLMDE SEC 3A,158000,45,0.194,5.63150684931507
GROVE PRK-LAKESD HAMPSTD,185250,46,0.2045,7.11780821917808
GROVE PRK-LNKSD BARRINGTN,282500,32,0.3615,8.08493150684932
GROVE PRK-LNKSD BKDL-WHSP,160000,101,0.232,4.36575342465753
GROVE PRK-LNKSD IDLEWOOD,148000,36,0.184,8.03287671232877
GROVE PRK-LNKSD MDWS @ BC,138000,48,0.19,8.13150684931507
GROVE PRK-LNKSD OAK BRDG,180000,55,0.183,6.58767123287671
GROVE PRK-LNKSD PDMT-HRTW,261000,30,0.259,8.96712328767123
GROVE PRK-LNKSD PH 1,204000,25,0.226,2.20958904109589
GROVE PRK-LNKSD PH 2,172500,73,0.172,11.5095890410959
GROVE PRK-LNKSD WESLYN 2,231000,20,0.2735,15.2821917808219
GROVE PRK-NORTHLAKE SEC10,120500,26,0.1775,6.18356164383562
GROVE PRK-SSHORE PH1,187000,65,0.258,10.5506849315068
GROVE PRK-SSHORE PH2 SEC4,202500,18,0.2595,15.3698630136986
GROVE PRK-SSHORE PH3 SEC4,224000,19,0.349,10.5479452054795
GROVE PRK-WATER EDG SEC 6,174250,66,0.1685,11.386301369863
GSK SUBDIVISION,636250,6,1.39,2.91643835616438
H-DALE CMNS CLUSTER P1 S1,219000,5,0.228,3.96438356164384
H-DALE CMNS CLUSTER P1 S2,241500,8,0.177,4.54657534246575
H-DALE CMNS CLUSTER P1 S3,285000,4,0.2395,5.61917808219178
H-DALE CMNS CLUSTER P2 S2,275000,3,0.199,1.71232876712329
H-DALE OFC CONDOS,0,5,0,
HABITAT HAYTI DEV,0,7,0.14,23.4027397260274
HAMILTON WDS,0,1,0.976,
HAMLIN ROAD ACRES,80000,1,2.008,4.53698630136986
HANOVER PNT AREA C/PH 1&2,255000,42,0.125,3.65479452054795
HANOVER POINTE,226000,40,0.087,3.94520547945205
HANOVER POINTE/SUB AREA A,223000,139,0.111,2.94794520547945
HAPPY VLY,0,16,0.764,23.4027397260274
HARDEE HGHTS,50000,23,0.237,10.2931506849315
HARDSCRABBLE PH 1 SEC 1,0,22,0.9795,23.4027397260274
HARDSCRABBLE PH 1 SEC 2,231250,20,1.009,22.8068493150685
HARDSCRABBLE PH 1 SEC 3,328000,19,0.958,5.53561643835617
HARDSCRABBLE PH 1 SEC 4,301250,28,1.011,15.8794520547945
HARDSCRABBLE PH 1 SEC 5,267500,23,1.019,23.4027397260274
HARDSCRABBLE PH 2 SEC 1,0,22,1.277,23.4027397260274
HARDSCRABBLE PH 2 SEC 2,157000,16,1.3255,15.3945205479452
HARDSCRABBLE PH 2 SEC 3,296500,22,1.1345,9.97260273972603
HARDSCRABBLE PH 2 SEC 4,53000,10,1.234,15.272602739726
HARDSCRABBLE PH 2 SEC 5,311000,20,1.012,13.5452054794521
HARDSCRABBLE PH 2 SEC 6,298250,30,1.016,4.39178082191781
HARDSCRABBLE PH 2 SEC 7,317500,29,1.101,7.87671232876712
HARDSCRABBLE PH 4,99750,24,2.621,9.5958904109589
HARDWICK HALL TWNS PH 1A,253500,6,0.098,5.37534246575343
HARMONY GROVE,0,3,0.982,20.4013698630137
HARMONY ROAD/RECOMB,0,3,0.277,
HARRINGTON PINES PH 01,160000,35,0.143,11.927397260274
HARRINGTON PINES PH 02,165500,7,0.263,16.513698630137
HAVENHILL SEC 1,173000,25,0.551,23.4027397260274
HAVENHILL SEC 2,0,35,0.598,23.4027397260274
HAYTI DEV,0,5,0.215,0.945205479452055
HEATHER GLEN SEC 1,0,27,0.538,21.4356164383562
HEATHER GLEN SEC 2,145000,24,0.6615,22.186301369863
HEATHER GLEN SEC 3,0,18,0.5955,15.7232876712329
HEATHER GLEN SEC 4,0,15,0.541,16.9041095890411
HEATHER GLEN SEC 5,162000,44,0.6805,23.3520547945205
HEATHER GLEN SEC 6,155000,21,1.11,7.87397260273973
HEATHER GLEN SEC 7,222000,28,1.2545,16.3945205479452
HEATHER RDG,232500,6,0.3375,11.1301369863014
HERITAGE 02 PH 01,142500,19,0.465,8.36986301369863
HERITAGE 02 PH 02,157500,30,0.4535,3.62739726027397
HERITAGE HGHTS SEC 1,0,25,0.459,15.9780821917808
HERITAGE HGHTS SEC 1-A,0,18,0.4935,23.4027397260274
HERITAGE HGHTS SEC 2,0,17,0.467,13.0821917808219
HERITAGE HGHTS SEC 2-A,0,30,0.516,12.0383561643836
HERITAGE HGHTS SEC 3,0,17,0.46,21.4013698630137
HERITAGE HGHTS SEC 4,0,21,0.564,23.4027397260274
HERITAGE HILLS,161250,44,0.506,23.4027397260274
HERSHEY PROF CTR,0,4,0,12.5397260273973
HESTER HGHTS,74000,51,0.171,7.97260273972603
HESTER SUBDIVISION,196500,34,0.258,12.2986301369863
HICKORY DOWNS CONDOS,121000,35,0,17.7150684931507
HICKORY GLEN PH 1A,110000,46,0.319,10.813698630137
HICKORY GLEN PH 1B,118000,41,0.228,7.13150684931507
HICKORY RDG SEC 1,0,35,0.461,16.8383561643836
HICKORY RDG SEC 2,1e+05,37,0.47,8.04109589041096
HICKORY RDG SEC 3,88000,35,0.459,15.4547945205479
HICKORY RDG SEC 4,0,52,0.459,6.94794520547945
HIDDEN HLS,0,31,0.554,9.14794520547945
HIDDEN HOLLOW PH 1 SEC A,92000,61,0.205,16.8027397260274
HIDDEN HOLLOW PH 1 SEC B,90000,48,0.2145,23.4027397260274
HIDDEN HOLLOW PH 2 SEC A,122500,4,0.19,7.29041095890411
HIDDEN VLY,0,24,0.508,21.641095890411
HIDDEN VLY - 1ST ADDN,0,26,0.4605,12.5506849315068
HIGHLAND HGHTS,0,39,0.367,23.4027397260274
HIGHLAND PARK/PH:01,1241000,23,0.062,
HILLANDALE RD CONDOS,737000,3,0,1.62465753424658
HILLCREST,18500,183,0.206,10.8780821917808
HILLCREST ACRES SEC 1/REV,0,14,0.459,23.4027397260274
HILLCREST ADN,0,17,0.476,16.386301369863
HILLCREST ADN SEC 2,0,109,0.228,13.3041095890411
HILLCREST ADN SEC 3,0,37,0.258,20.372602739726
HILLCREST ADN/JONES R M,0,11,0.171,23.4027397260274
HILLCREST ADN/MOREHEAD JL,64000,15,0.271,7.8054794520548
HILLCREST ADN/NS HOLLOWAY,0,3,0.171,18.5643835616438
HILLCREST ADN/SS HOLLOWAY,53500,8,0.2605,
HILLCREST BLK 4-5,16500,10,0.1765,12.3095890410959
HILLCREST RESUB,0,21,0.203,19.8876712328767
HILLCREST RESUB 2,20500,35,0.23,4.78630136986301
HILLSIDE PRK SEC 1,0,42,0.2025,22.9890410958904
HILLSIDE PRK SEC 2,0,17,0.231,13.1369863013699
HILLSIDE PRK SEC 3,0,19,0.266,21.3534246575342
HILLSIDE PRK SEC 4,0,29,0.275,10.3753424657534
HILLSIDE PRK SEC 5,0,9,0.241,22.227397260274
HILLSIDE PRK SEC 6,50500,14,0.2545,14.2643835616438
HILLSIDE PRK SEC 6A,0,19,0.245,18.4
HILLSIDE PRK SEC 6B,0,13,0.266,23.4027397260274
HILLVIEW TERRACE,0,195,0.464,19.8958904109589
HOCUTT-SHERRON ROAD,0,14,0.688,18.9
HOILDAY PRK,0,24,0.203,14.4657534246575
HOLDER HGHTS SEC 1,0,1,0.928,23.4027397260274
HOLDER HGHTS SEC 2,0,23,0.478,23.1534246575342
HOLIDAY HILL,0,68,0.492,22.8958904109589
HOLLOWAY PLC PH 1 TWN,0,6,0.102,23.4027397260274
HOLLY HGHTS DEV,0,13,1.075,23.4027397260274
HOLSTON MEADOWS TWNHMS,110000,48,0.1265,6.53561643835617
HOLYMD TW/P1,133000,15,0.033,10.7150684931507
HOLYMD TW/P2,112000,7,0.03,9.54794520547945
HOLYMD TW/P2 L15-21/36-42,150000,12,0.034,2.78904109589041
HOLYMD TW/P2 L29-35,123500,7,0.031,0.947945205479452
HOMELAND HGHTS,0,69,0.203,9.21095890410959
HOMESTEAD HGHTS,23250,70,0.412,20.1342465753425
HOMESTEAD HGHTS EXT 1,112250,32,0.393,7.04246575342466
HOMESTEAD HGHTS EXT 2,77000,15,0.41,13.0561643835616
HOMESTEAD HGHTS EXT 3,121000,28,0.431,8.75753424657534
HOMESTEAD HGHTS EXT 4,80750,20,0.366,23.3178082191781
HOMESTEAD HGHTS EXT 5,127000,9,0.458,5.92602739726027
HOMESTEAD HGHTS EXT 6,111000,11,0.319,7.33835616438356
HOMESTEAD HGHTS EXT 7,124500,5,0.329,14.6342465753425
HOMESTEAD HGHTS EXT 8,125000,21,0.449,23.4027397260274
HOMESTEAD HGHTS EXT 9,125500,36,0.4585,7.08356164383562
HONEYWOOD,0,9,0.459,16.0630136986301
HOPE CREEK PH 01,359000,55,0.236,16.3931506849315
HOPE CREEK PH 02,368750,26,0.234,13.7506849315069
HOPE CREEK PH 03,404000,27,0.243,12.9315068493151
HOPEWELL,125000,13,0.461,3.32876712328767
HORTON GROVE,0,16,38.118,13.7260273972603
HORTON HLS P-07A,144000,5,0.301,12.6191780821918
HORTON HLS P-09  S-10,212000,6,0.302,1.04520547945205
HORTON HLS S-01,74000,31,0.29,20.472602739726
HORTON HLS S-02,0,28,0.302,23.4027397260274
HORTON HLS S-03,133000,19,0.279,7.96575342465754
HORTON HLS S-04,124000,24,0.2875,9.71232876712329
HORTON HLS S-05,134500,14,0.3085,12.4328767123288
HORTON HLS S-06,146000,18,0.258,20.7246575342466
HORTON HLS S-07,141250,18,0.249,6.54520547945205
HORTON HLS S-08,161500,21,0.25,10.9301369863014
HORTON HLS S-09,147250,40,0.196,12.8739726027397
HORTON HLS S-09  P-02,140500,47,0.164,9.43287671232877
HORTON HLS S-09  P-03,161250,88,0.139,11.3095890410959
HORTON WDS CONDOS,0,1,0.551,
